Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 87.9000: (UNLOAD F3 CA2 P27) [D:2.0000; C:0.1000]
 87.9000: (UNLOAD F3 CA2 P17) [D:2.0000; C:0.1000]
 87.9000: (UNLOAD F3 CA2 P37) [D:2.0000; C:0.1000]
 87.9000: (UNLOAD F3 CA2 P35) [D:3.0000; C:0.1000]
 87.9000: (UNLOAD F3 CA2 P7) [D:2.0000; C:0.1000]
 87.9000: (UNLOAD F3 CA2 P25) [D:3.0000; C:0.1000]
 88.9000: (LOAD F1 E1 P18) [D:3.0000; C:0.1000]
 90.9000: (MOVER_FURGONETA F3 D2 CA2 A2 CIUDAD2) [D:1.6000; C:0.1000]
 91.9000: (MOVER_FURGONETA F1 D1 E1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 92.5000: (UNLOAD F3 A2 P30) [D:4.0000; C:0.1000]
 92.9000: (UNLOAD F1 CA1 P38) [D:3.0000; C:0.1000]
 92.9000: (UNLOAD F1 CA1 P8) [D:3.0000; C:0.1000]
 92.9000: (UNLOAD F1 CA1 P18) [D:3.0000; C:0.1000]
 95.9000: (MOVER_FURGONETA F1 D1 CA1 A1 CIUDAD1) [D:1.0000; C:0.1000]
 96.5000: (LOAD AV1 A2 P30) [D:4.0000; C:0.1000]
 96.5000: (MOVER_FURGONETA F3 D2 A2 CA2 CIUDAD2) [D:1.6000; C:0.1000]
 96.9000: (LOAD F1 A1 P16) [D:4.0000; C:0.1000]
 98.1000: (UNLOAD F3 CA2 P15) [D:3.0000; C:0.1000]
 100.5000: (MOVER_AVION AV1 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 100.9000: (MOVER_FURGONETA F1 D1 A1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 101.1667: (UNLOAD AV1 A1 P30) [D:4.0000; C:0.1000]
 101.1667: (UNLOAD AV1 A1 P10) [D:4.0000; C:0.1000]
 101.9000: (UNLOAD F1 CA1 P16) [D:4.0000; C:0.1000]


Solution number: 4
Total time:      63.20
Search time:     63.16
Actions:         230
Execution cost:  23.00
Duration:        105.900
Plan quality:    105.900
